User_ID,Job_ID,User_Skills,Job_Requirements,User_Skill_Count,Job_Req_Count,Skill_Overlap_Count,Match_Score_Band,Education_Level,Experience_Years,Location,Job_Role
U100013,J200013,"NLP, NumPy, AWS, Docker, Kubernetes, Leadership","Tableau, Power BI, Leadership, Kubernetes, Docker, Machine Learning",6,6,3,Medium,High School,6,Bangalore,Software Engineer
U100014,J200014,"Docker, Tableau, Power BI, Excel, SQL, NumPy","Leadership, NumPy, SQL, Data Analysis",6,4,2,Medium,High School,7,Delhi,Data Analyst
U100015,J200015,"Docker, Python, Statistics, NLP, TensorFlow, SQL","Machine Learning, SQL, Deep Learning, Power BI, C++, AWS, Pandas",6,7,1,Low,Bachelor,0,Hyderabad,Data Scientist
U100016,J200016,"NLP, Pandas, Python","Pandas, Leadership, Docker, Machine Learning, Deep Learning, SQL",3,6,1,Low,PhD,4,Delhi,Backend Developer
U100017,J200017,"Tableau, Data Analysis, Leadership","Machine Learning, Leadership, Data Analysis",3,3,2,Medium,Master,8,Pune,Data Analyst
U100018,J200018,"NumPy, Excel, Machine Learning, NLP","TensorFlow, Statistics, Machine Learning",4,3,1,Medium,PhD,9,Pune,ML Engineer
U100019,J200019,"Data Analysis, Excel, Python","Docker, Communication, Leadership, Java, Statistics, Tableau, Deep Learning",3,7,0,Low,PhD,7,Bangalore,Backend Developer
U100020,J200020,"Machine Learning, AWS, Python, Java, Communication, TensorFlow, SQL","Statistics, Java, Python, Excel",7,4,2,Medium,High School,1,Hyderabad,Business Analyst
U100021,J200021,"Machine Learning, Pandas, Java, AWS","Python, NLP, Tableau, Deep Learning, AWS, Machine Learning, Docker",4,7,2,Low,PhD,10,Hyderabad,Data Analyst
U100022,J200022,"NLP, Tableau, NumPy","Leadership, SQL, Machine Learning, Deep Learning, NLP, Power BI, Python",3,7,1,Low,Bachelor,6,Pune,Backend Developer
U100023,J200023,"Leadership, Kubernetes, Data Analysis, Python, Communication, Java","Docker, Machine Learning, Kubernetes, NLP",6,4,1,Low,PhD,0,Bangalore,ML Engineer
U100024,J200024,"Pandas, NumPy, Deep Learning, AWS, Python, Power BI","Java, Power BI, Excel, AWS, Kubernetes",6,5,2,Medium,High School,8,Hyderabad,DevOps Engineer
U100025,J200025,"NLP, Leadership, Kubernetes, Deep Learning, Machine Learning, SQL","Data Analysis, Power BI, TensorFlow",6,3,0,Low,PhD,8,Chennai,ML Engineer
U100026,J200026,"TensorFlow, C++, Deep Learning","Kubernetes, NLP, Data Analysis",3,3,0,Low,Master,6,Chennai,Data Analyst
U100027,J200027,"Kubernetes, Java, Python","Power BI, SQL, AWS, C++, Pandas",3,5,0,Low,High School,0,Bangalore,Business Analyst
U100028,J200028,"Leadership, Machine Learning, Python","Data Analysis, Excel, Deep Learning, Tableau, NLP, C++",3,6,0,Low,PhD,0,Pune,Backend Developer
U100029,J200029,"AWS, Java, Leadership, Docker, Kubernetes","NumPy, Data Analysis, Docker, Statistics, Leadership, SQL",5,6,2,Medium,High School,6,Bangalore,Backend Developer
U100030,J200030,"Tableau, Leadership, SQL, NumPy, Kubernetes","Machine Learning, Power BI, Kubernetes",5,3,1,Medium,High School,9,Mumbai,Business Analyst
U100031,J200031,"Kubernetes, Statistics, Python, Excel","AWS, TensorFlow, Pandas",4,3,0,Low,High School,8,Pune,Data Analyst
U100032,J200032,"C++, Power BI, Deep Learning, Kubernetes, SQL, Tableau, Python","Tableau, SQL, NumPy, Docker, Deep Learning",7,5,3,Medium,Master,10,Delhi,Backend Developer
U100033,J200033,"TensorFlow, Java, Data Analysis","AWS, C++, Python, Kubernetes, Tableau",3,5,0,Low,PhD,9,Mumbai,DevOps Engineer
U100034,J200034,"C++, NumPy, NLP, Deep Learning","Java, C++, Excel, Power BI, Docker",4,5,1,Low,High School,9,Pune,Software Engineer
U100035,J200035,"Deep Learning, Kubernetes, TensorFlow","Statistics, TensorFlow, AWS, SQL, Leadership, NLP",3,6,1,Low,Master,8,Pune,Business Analyst
U100036,J200036,"Tableau, Data Analysis, Communication","TensorFlow, Communication, Power BI, Statistics, Machine Learning",3,5,1,Low,PhD,6,Chennai,Backend Developer
U100037,J200037,"Deep Learning, Python, Docker","Pandas, SQL, Docker, Communication, TensorFlow, Python",3,6,2,Medium,Bachelor,5,Mumbai,Backend Developer
U100038,J200038,"SQL, NumPy, Data Analysis","Kubernetes, Tableau, Power BI, Python, Statistics, NumPy, Docker",3,7,1,Low,PhD,0,Chennai,Business Analyst
U100039,J200039,"Kubernetes, Statistics, Tableau","Python, Excel, Machine Learning, Deep Learning, TensorFlow, Data Analysis",3,6,0,Low,PhD,4,Delhi,Data Analyst
U100040,J200040,"Excel, Leadership, Statistics, Data Analysis, Machine Learning, Kubernetes, NumPy","AWS, Deep Learning, Data Analysis",7,3,1,Medium,Bachelor,0,Pune,Business Analyst
U100041,J200041,"SQL, AWS, Statistics, Excel, Communication, TensorFlow, NLP","Java, Tableau, Leadership, Statistics",7,4,1,Low,Master,10,Mumbai,Business Analyst
U100042,J200042,"Kubernetes, Data Analysis, Excel","Communication, Leadership, Python",3,3,0,Low,Bachelor,1,Delhi,Backend Developer
U100043,J200043,"Docker, SQL, Power BI","Statistics, C++, Python, Power BI, AWS, Communication, Machine Learning",3,7,1,Low,High School,8,Bangalore,Backend Developer
U100044,J200044,"Statistics, Kubernetes, Data Analysis, AWS, SQL, Leadership, Power BI","Leadership, C++, Tableau",7,3,1,Medium,Bachelor,3,Chennai,ML Engineer
U100045,J200045,"NLP, Power BI, Data Analysis, AWS, Pandas, Kubernetes","Statistics, AWS, Leadership",6,3,1,Medium,Bachelor,6,Hyderabad,DevOps Engineer
U100046,J200046,"NLP, Tableau, Power BI, AWS, Statistics, Data Analysis, NumPy","Communication, Data Analysis, Tableau, SQL, NumPy, NLP",7,6,4,Medium,Master,7,Chennai,DevOps Engineer
U100047,J200047,"C++, Pandas, Python, Leadership","Tableau, Data Analysis, TensorFlow, Power BI, Deep Learning, Machine Learning, C++",4,7,1,Low,PhD,3,Chennai,Business Analyst
U100048,J200048,"Machine Learning, Kubernetes, Deep Learning","Leadership, Python, NumPy, Java, C++, Docker, Pandas",3,7,0,Low,Bachelor,3,Pune,Business Analyst
U100049,J200049,"Docker, Power BI, Data Analysis, Python, TensorFlow, Machine Learning","Communication, Kubernetes, SQL, TensorFlow",6,4,1,Low,PhD,9,Bangalore,Data Analyst
U100050,J200050,"Java, Python, Communication, Pandas, Excel","NumPy, Excel, Statistics, Communication",5,4,2,Medium,Master,7,Hyderabad,Business Analyst
U100051,J200051,"Leadership, NLP, AWS, Data Analysis, Kubernetes","Kubernetes, AWS, TensorFlow",5,3,2,Medium,Master,2,Pune,ML Engineer
U100052,J200052,"Java, Communication, Deep Learning, Power BI, Leadership, Statistics","NumPy, Excel, SQL, Python, AWS, Deep Learning",6,6,1,Low,Master,1,Chennai,ML Engineer
U100053,J200053,"Kubernetes, C++, Machine Learning, Power BI","Kubernetes, Python, SQL, Deep Learning, TensorFlow, AWS, Tableau",4,7,1,Low,High School,7,Pune,Data Scientist
U100054,J200054,"Deep Learning, Tableau, TensorFlow, Python, Java, Machine Learning","Machine Learning, Kubernetes, C++, SQL, Power BI",6,5,1,Low,Master,1,Chennai,DevOps Engineer
U100055,J200055,"AWS, Power BI, TensorFlow, C++, Leadership, Tableau","NLP, AWS, Java, C++, TensorFlow",6,5,3,Medium,PhD,3,Hyderabad,Software Engineer
U100056,J200056,"Data Analysis, Communication, Python, Tableau, Java, Docker, Excel","Python, C++, Statistics, Java, Power BI, NumPy, Excel",7,7,3,Medium,PhD,4,Delhi,Backend Developer
U100057,J200057,"Machine Learning, TensorFlow, Docker, Python, Deep Learning, NumPy, Statistics","NumPy, Java, Machine Learning, Power BI, Leadership",7,5,2,Medium,PhD,0,Delhi,ML Engineer
U100058,J200058,"TensorFlow, Python, SQL, Java, Deep Learning, Docker, Statistics","TensorFlow, Statistics, Deep Learning, Pandas, NumPy, Kubernetes, Excel",7,7,3,Medium,Bachelor,2,Delhi,DevOps Engineer
U100059,J200059,"Tableau, Statistics, TensorFlow, AWS, Data Analysis, Machine Learning","Statistics, Deep Learning, Tableau, SQL, Docker",6,5,2,Medium,Master,6,Mumbai,Backend Developer
U100060,J200060,"Pandas, Python, Power BI, Leadership","Deep Learning, Data Analysis, Docker, Pandas, Leadership",4,5,2,Medium,Bachelor,2,Pune,Business Analyst
U100061,J200061,"Kubernetes, NLP, TensorFlow, AWS, Docker","Tableau, TensorFlow, Excel",5,3,1,Medium,Bachelor,8,Mumbai,Backend Developer
U100062,J200062,"Kubernetes, Excel, Python, Machine Learning","Kubernetes, Docker, Python",4,3,2,Medium,Bachelor,2,Mumbai,Data Scientist
U100063,J200063,"Docker, Power BI, SQL","Tableau, Docker, Statistics, Python, Excel, Leadership, Communication",3,7,1,Low,PhD,10,Hyderabad,ML Engineer
U100064,J200064,"TensorFlow, Excel, Java, Statistics, Python","NLP, SQL, Java, Pandas, Statistics, Power BI",5,6,2,Medium,High School,4,Delhi,Business Analyst
U100065,J200065,"Leadership, Deep Learning, Communication, Java, Machine Learning, Statistics","NumPy, SQL, Leadership, Excel",6,4,1,Low,PhD,7,Bangalore,Backend Developer
U100066,J200066,"NumPy, Deep Learning, AWS, Java, Communication, Python, TensorFlow","Docker, Data Analysis, Tableau, Kubernetes, Leadership, Deep Learning, SQL",7,7,1,Low,PhD,8,Chennai,Software Engineer
U100067,J200067,"TensorFlow, Communication, Leadership, Data Analysis, Python, NumPy, Java","Java, Tableau, NLP, Pandas",7,4,1,Low,Bachelor,3,Hyderabad,Business Analyst
U100068,J200068,"Machine Learning, AWS, Java, Power BI, NLP, NumPy","Pandas, Tableau, Deep Learning, Statistics, Docker, Kubernetes, C++",6,7,0,Low,High School,8,Pune,Business Analyst
U100069,J200069,"Java, Leadership, Machine Learning, Communication","Kubernetes, Deep Learning, Excel, Leadership, AWS, Pandas, TensorFlow",4,7,1,Low,Master,8,Hyderabad,Business Analyst
U100070,J200070,"Python, Deep Learning, Tableau, NLP, Kubernetes, Docker","NumPy, Communication, Statistics, Tableau",6,4,1,Low,Master,9,Hyderabad,Data Scientist
U100071,J200071,"Deep Learning, NLP, Excel, Kubernetes","Docker, Power BI, Java, Kubernetes, Leadership",4,5,1,Low,PhD,5,Pune,Business Analyst
U100072,J200072,"NumPy, Kubernetes, Docker","AWS, C++, TensorFlow, NLP, Leadership, Machine Learning, Statistics",3,7,0,Low,High School,8,Hyderabad,DevOps Engineer
U100073,J200073,"Python, TensorFlow, Statistics","Python, NumPy, Leadership",3,3,1,Medium,High School,7,Bangalore,DevOps Engineer
U100074,J200074,"Statistics, Communication, Docker, SQL, Data Analysis, Java, Deep Learning","C++, Statistics, SQL",7,3,2,Medium,PhD,3,Delhi,Backend Developer
U100075,J200075,"Leadership, SQL, Machine Learning, Communication, TensorFlow, Python, Deep Learning","Statistics, Java, Leadership, Machine Learning, Communication, SQL",7,6,4,Medium,Bachelor,3,Pune,ML Engineer
U100076,J200076,"Power BI, Kubernetes, Data Analysis, Statistics, C++, TensorFlow","Statistics, C++, Machine Learning, Pandas",6,4,2,Medium,PhD,8,Bangalore,Backend Developer
U100077,J200077,"Kubernetes, Pandas, NLP, Leadership, Excel","Excel, NLP, Java, Kubernetes, C++, TensorFlow",5,6,3,Medium,Bachelor,7,Hyderabad,Software Engineer
U100078,J200078,"Excel, Data Analysis, Kubernetes, Power BI, TensorFlow, Docker, SQL","Machine Learning, Python, NumPy, C++",7,4,0,Low,Master,7,Chennai,Data Scientist
U100079,J200079,"NLP, Machine Learning, Excel, Tableau, AWS, TensorFlow, Data Analysis","Pandas, Statistics, AWS, Leadership",7,4,1,Low,Master,10,Chennai,DevOps Engineer
U100080,J200080,"Power BI, Deep Learning, Communication, Data Analysis, Python","Power BI, NumPy, Python, SQL, AWS, Machine Learning",5,6,2,Medium,High School,7,Bangalore,ML Engineer
U100081,J200081,"Data Analysis, Machine Learning, Docker, Deep Learning, Pandas, Python, NLP","Leadership, NumPy, C++, NLP, Machine Learning, Deep Learning",7,6,3,Medium,PhD,4,Chennai,DevOps Engineer
U100082,J200082,"Tableau, C++, NLP, Excel","Leadership, Java, NLP, SQL, AWS, NumPy, C++",4,7,2,Low,PhD,6,Delhi,Business Analyst
U100083,J200083,"Pandas, Leadership, SQL, Docker","Pandas, Python, Power BI, Docker, Leadership, AWS, Java",4,7,3,Medium,PhD,1,Delhi,DevOps Engineer
U100084,J200084,"Communication, SQL, Leadership, Power BI","SQL, Pandas, Statistics, NLP, Java, Python, Leadership",4,7,2,Low,PhD,4,Mumbai,Data Scientist
U100085,J200085,"Pandas, C++, SQL","Machine Learning, Communication, Python, AWS, Excel",3,5,0,Low,Bachelor,8,Delhi,ML Engineer
U100086,J200086,"Data Analysis, Tableau, Statistics, Deep Learning","Excel, NumPy, Kubernetes",4,3,0,Low,Bachelor,3,Bangalore,DevOps Engineer
U100087,J200087,"Data Analysis, Tableau, Docker, NumPy, Communication, Excel","Machine Learning, Tableau, Leadership, Statistics, Kubernetes, Communication",6,6,2,Medium,Master,1,Mumbai,DevOps Engineer
U100088,J200088,"Power BI, TensorFlow, Java, Tableau","NLP, NumPy, Docker, Tableau, AWS, TensorFlow, Pandas",4,7,2,Low,Bachelor,3,Hyderabad,Business Analyst
U100089,J200089,"Kubernetes, Communication, Pandas, Machine Learning, Power BI","Power BI, Tableau, Pandas, SQL",5,4,2,Medium,Master,9,Pune,Data Analyst
U100090,J200090,"Docker, AWS, Java, SQL, Statistics, Communication, Excel","Communication, Power BI, Python, Pandas, Deep Learning, Statistics",7,6,2,Medium,Master,10,Pune,ML Engineer
U100091,J200091,"NLP, AWS, Leadership","Data Analysis, Deep Learning, Java, Communication",3,4,0,Low,PhD,0,Hyderabad,Backend Developer
U100092,J200092,"Docker, Data Analysis, Communication, Power BI, Java","AWS, Power BI, Docker, Excel, Deep Learning, Java",5,6,3,Medium,Bachelor,4,Mumbai,Software Engineer
U100093,J200093,"Data Analysis, Leadership, Statistics, C++, NLP, Tableau, Docker","Docker, NumPy, Power BI, Leadership, Java, TensorFlow",7,6,2,Medium,High School,9,Hyderabad,Data Scientist
U100094,J200094,"Data Analysis, TensorFlow, Communication, Statistics","Leadership, Excel, Data Analysis, Pandas, Statistics",4,5,2,Medium,Bachelor,8,Hyderabad,Data Scientist
U100095,J200095,"Data Analysis, Python, Leadership, Excel","AWS, SQL, Pandas, Communication, TensorFlow, Machine Learning",4,6,0,Low,Master,8,Hyderabad,Backend Developer
U100096,J200096,"Python, C++, Java, Power BI, Kubernetes, Statistics, Docker","NLP, TensorFlow, Communication, Python, Machine Learning, Tableau, Data Analysis",7,7,1,Low,High School,3,Bangalore,ML Engineer
U100097,J200097,"Machine Learning, Communication, NLP, TensorFlow, Pandas","Communication, Pandas, Deep Learning, TensorFlow",5,4,3,High,Bachelor,7,Pune,Software Engineer
U100098,J200098,"NumPy, C++, TensorFlow","Deep Learning, Communication, Excel, Power BI, Docker",3,5,0,Low,PhD,5,Chennai,Software Engineer
U100099,J200099,"C++, Leadership, Statistics, Power BI, NLP, Data Analysis, Communication","Statistics, Excel, SQL",7,3,1,Medium,High School,1,Delhi,ML Engineer
U100100,J200100,"Communication, Tableau, Java, C++, NumPy, NLP, Power BI","Deep Learning, Data Analysis, Communication, Leadership",7,4,1,Low,Master,6,Chennai,Backend Developer
U100101,J200101,"Excel, Communication, Leadership, SQL, Python","Machine Learning, Power BI, NLP",5,3,0,Low,Bachelor,3,Delhi,Data Scientist
U100102,J200102,"AWS, NLP, Data Analysis, Kubernetes, Power BI, Statistics","Tableau, NumPy, TensorFlow, Communication, C++, AWS",6,6,1,Low,Bachelor,8,Pune,Backend Developer
U100103,J200103,"Pandas, Statistics, NumPy, Docker","NLP, NumPy, Docker, Machine Learning, C++, TensorFlow",4,6,2,Medium,Master,5,Mumbai,Data Scientist
U100104,J200104,"Python, Statistics, NumPy, Docker, Power BI, TensorFlow","Excel, TensorFlow, Communication",6,3,1,Medium,PhD,4,Delhi,Software Engineer
U100105,J200105,"TensorFlow, Excel, Tableau, Machine Learning, Communication, Power BI, Deep Learning","NLP, Deep Learning, AWS, C++",7,4,1,Low,High School,9,Chennai,ML Engineer
U100106,J200106,"Java, Excel, SQL","Docker, Pandas, C++",3,3,0,Low,Bachelor,5,Bangalore,DevOps Engineer
U100107,J200107,"Excel, TensorFlow, Power BI, Deep Learning, NumPy, C++","Statistics, Deep Learning, NLP",6,3,1,Medium,High School,5,Delhi,Data Scientist
U100108,J200108,"NLP, Docker, Power BI, Communication, Excel","Statistics, Power BI, Excel",5,3,2,Medium,PhD,7,Mumbai,ML Engineer
U100109,J200109,"Statistics, AWS, Deep Learning, NumPy, Pandas, Java, SQL","Machine Learning, SQL, Communication, Excel, Tableau, C++, Power BI",7,7,1,Low,High School,9,Bangalore,Backend Developer
U100110,J200110,"AWS, Python, Statistics, Excel, C++, Tableau, Pandas","Java, Statistics, Power BI, SQL, Deep Learning, NumPy",7,6,1,Low,PhD,0,Chennai,ML Engineer
U100111,J200111,"Kubernetes, Python, Power BI, Machine Learning, Pandas, Docker, Excel","Excel, Tableau, AWS",7,3,1,Medium,PhD,4,Delhi,Backend Developer
U100112,J200112,"NLP, C++, Power BI, SQL, Leadership, Statistics","Python, NumPy, Java, TensorFlow, C++, Pandas",6,6,1,Low,High School,0,Bangalore,ML Engineer
U100113,J200113,"Excel, Pandas, Data Analysis","Docker, Power BI, C++",3,3,0,Low,High School,10,Bangalore,Software Engineer
U100114,J200114,"Java, Statistics, Excel, Kubernetes, C++, Pandas, SQL","TensorFlow, Java, Power BI, NLP",7,4,1,Low,High School,6,Mumbai,Data Scientist
U100115,J200115,"Statistics, Python, Communication, Leadership, Data Analysis, SQL","Python, Power BI, AWS, Kubernetes, Deep Learning",6,5,1,Low,High School,3,Hyderabad,Data Analyst
U100116,J200116,"Tableau, Kubernetes, NLP","Statistics, Java, Communication",3,3,0,Low,High School,4,Chennai,ML Engineer
U100117,J200117,"TensorFlow, Excel, Python, Deep Learning, NLP","Statistics, Excel, Leadership",5,3,1,Medium,Bachelor,3,Mumbai,DevOps Engineer
U100118,J200118,"C++, Tableau, Deep Learning","Communication, Statistics, Pandas, Python",3,4,0,Low,Bachelor,1,Chennai,Data Scientist
U100119,J200119,"C++, NumPy, Java, Statistics, Power BI","Leadership, NumPy, Kubernetes, Pandas, Docker",5,5,1,Low,Bachelor,2,Hyderabad,ML Engineer
U100120,J200120,"Power BI, TensorFlow, Pandas","Tableau, Python, NLP, Pandas",3,4,1,Low,PhD,0,Chennai,ML Engineer
U100121,J200121,"Pandas, Tableau, Excel, NLP, Machine Learning","Excel, SQL, TensorFlow, Deep Learning",5,4,1,Low,High School,7,Bangalore,Data Analyst
U100122,J200122,"Leadership, Docker, Power BI, Statistics, AWS, Communication","Power BI, Data Analysis, TensorFlow, Python",6,4,1,Low,Bachelor,9,Pune,Business Analyst
U100123,J200123,"NLP, Pandas, AWS","Machine Learning, Docker, Excel, Tableau",3,4,0,Low,High School,4,Chennai,Software Engineer
U100124,J200124,"Docker, Power BI, Machine Learning, SQL","SQL, Data Analysis, Docker, Power BI, Machine Learning, Communication",4,6,4,Medium,Bachelor,2,Chennai,Backend Developer
U100125,J200125,"Python, Deep Learning, Machine Learning, AWS, Excel, C++, Power BI","NLP, Docker, Statistics, Power BI, Pandas, Deep Learning",7,6,2,Medium,PhD,10,Pune,Software Engineer
U100126,J200126,"Excel, Python, Pandas, NLP","Machine Learning, Pandas, Kubernetes, Excel, Communication, Tableau",4,6,2,Medium,PhD,2,Bangalore,Data Scientist
U100127,J200127,"Tableau, Kubernetes, Power BI","Data Analysis, SQL, Leadership",3,3,0,Low,High School,9,Hyderabad,Data Scientist
U100128,J200128,"Tableau, Java, Leadership","Power BI, Docker, Machine Learning, Excel, Communication, Leadership",3,6,1,Low,Master,10,Hyderabad,Data Scientist
U100129,J200129,"Statistics, TensorFlow, Machine Learning","Docker, AWS, Leadership, Machine Learning",3,4,1,Low,High School,3,Pune,Software Engineer
U100130,J200130,"Docker, Java, Pandas, Power BI, Statistics, TensorFlow","Leadership, TensorFlow, Communication, Kubernetes",6,4,1,Low,Bachelor,5,Chennai,ML Engineer
U100131,J200131,"AWS, Excel, Tableau, Python, TensorFlow, SQL","Python, SQL, C++, Pandas, Machine Learning",6,5,2,Medium,High School,1,Pune,DevOps Engineer
U100132,J200132,"Power BI, SQL, Deep Learning, AWS","Kubernetes, SQL, Docker, NLP, Machine Learning, Tableau",4,6,1,Low,High School,6,Hyderabad,Backend Developer
U100133,J200133,"C++, Java, Data Analysis","Java, Tableau, Machine Learning",3,3,1,Medium,High School,3,Chennai,Backend Developer
U100134,J200134,"NLP, Java, Tableau, Data Analysis, Kubernetes, SQL","Pandas, Data Analysis, SQL",6,3,2,Medium,High School,8,Pune,Business Analyst
U100135,J200135,"Kubernetes, Excel, Deep Learning","Machine Learning, Data Analysis, Tableau, Communication, Java, NumPy",3,6,0,Low,Bachelor,5,Bangalore,Business Analyst
U100136,J200136,"Deep Learning, Kubernetes, TensorFlow","Java, C++, SQL",3,3,0,Low,Master,8,Pune,Data Analyst
U100137,J200137,"AWS, Machine Learning, NumPy, Python, Docker, Power BI","Leadership, Java, NumPy, SQL",6,4,1,Low,PhD,1,Mumbai,ML Engineer
U100138,J200138,"Statistics, SQL, Machine Learning, Java, NumPy, Python, Kubernetes","Communication, Java, Leadership, Tableau, Pandas, Docker",7,6,1,Low,PhD,5,Delhi,Backend Developer
U100139,J200139,"Power BI, Python, Leadership","Machine Learning, Java, Kubernetes",3,3,0,Low,PhD,2,Bangalore,Software Engineer
U100140,J200140,"Leadership, Java, NumPy, Statistics, Pandas, Deep Learning","Excel, TensorFlow, Statistics, Communication, Data Analysis, NLP, C++",6,7,1,Low,PhD,5,Mumbai,Data Scientist
U100141,J200141,"Excel, Java, Machine Learning, Kubernetes","Kubernetes, NLP, Machine Learning, Deep Learning, Data Analysis, Excel",4,6,3,Medium,PhD,3,Mumbai,DevOps Engineer
U100142,J200142,"Machine Learning, Statistics, Power BI","Deep Learning, Pandas, Communication, Kubernetes",3,4,0,Low,Bachelor,7,Hyderabad,Software Engineer
U100143,J200143,"NumPy, Java, Docker","Data Analysis, Kubernetes, Statistics",3,3,0,Low,PhD,3,Chennai,Backend Developer
U100144,J200144,"Power BI, Deep Learning, Kubernetes","Communication, Deep Learning, Docker, TensorFlow, Leadership, C++, Statistics",3,7,1,Low,Master,0,Hyderabad,ML Engineer
U100145,J200145,"Java, Deep Learning, Docker, NumPy","AWS, C++, SQL, Java, Machine Learning, Leadership",4,6,1,Low,High School,10,Hyderabad,Backend Developer
U100146,J200146,"NLP, Deep Learning, SQL, TensorFlow, Machine Learning, Docker","Tableau, Docker, Python, Deep Learning, NLP, Statistics, Java",6,7,3,Medium,PhD,7,Pune,Business Analyst
U100147,J200147,"SQL, Statistics, Tableau","NumPy, TensorFlow, Power BI",3,3,0,Low,Bachelor,6,Hyderabad,Business Analyst
U100148,J200148,"Python, TensorFlow, NumPy","Docker, AWS, Machine Learning, Java, Statistics",3,5,0,Low,PhD,10,Hyderabad,Business Analyst
U100149,J200149,"Leadership, Pandas, Kubernetes, Communication, Tableau, Java","Communication, NLP, Data Analysis, TensorFlow, Kubernetes, Java, Excel",6,7,3,Medium,PhD,6,Bangalore,DevOps Engineer
U100150,J200150,"Docker, NLP, Java, TensorFlow, Python","C++, Java, Communication, TensorFlow, Python, Tableau, Leadership",5,7,3,Medium,Master,7,Hyderabad,ML Engineer
U100151,J200151,"Java, Pandas, Statistics","C++, Machine Learning, AWS, Leadership",3,4,0,Low,Bachelor,7,Chennai,DevOps Engineer
U100152,J200152,"Statistics, TensorFlow, Machine Learning, Excel, Docker","Pandas, AWS, Machine Learning, Python, Docker, Excel",5,6,3,Medium,PhD,4,Bangalore,DevOps Engineer
U100153,J200153,"AWS, Leadership, Docker, Excel","Tableau, SQL, Communication, Statistics, TensorFlow, NLP",4,6,0,Low,PhD,7,Bangalore,Software Engineer
U100154,J200154,"Data Analysis, Docker, Communication, Statistics, C++","AWS, Power BI, NLP, SQL, Excel",5,5,0,Low,High School,5,Bangalore,Software Engineer
U100155,J200155,"NumPy, Statistics, Tableau, Excel, C++, Java","Kubernetes, Excel, Python",6,3,1,Medium,Master,2,Chennai,Backend Developer
U100156,J200156,"Excel, Java, NumPy","C++, Excel, Tableau, Statistics, Kubernetes, SQL",3,6,1,Low,PhD,10,Hyderabad,Data Scientist
U100157,J200157,"AWS, Excel, NumPy, Python","Statistics, SQL, C++, Kubernetes",4,4,0,Low,Master,1,Bangalore,Data Scientist
U100158,J200158,"Statistics, Tableau, Data Analysis, AWS, TensorFlow","Pandas, AWS, Leadership",5,3,1,Medium,PhD,1,Bangalore,Data Analyst
U100159,J200159,"NLP, TensorFlow, Pandas","Pandas, Leadership, Tableau, TensorFlow, NumPy",3,5,2,Medium,Bachelor,6,Bangalore,Data Scientist
U100160,J200160,"SQL, TensorFlow, Machine Learning, AWS, Pandas, Communication","Data Analysis, Communication, NLP, Deep Learning",6,4,1,Low,Bachelor,10,Mumbai,DevOps Engineer
U100161,J200161,"C++, Python, SQL, Leadership, Power BI, TensorFlow","Pandas, Kubernetes, Power BI, NumPy, Excel, Python",6,6,2,Medium,Bachelor,3,Hyderabad,Software Engineer
